day,ukTime,istTime,rj,show,subtitle
Wednesday,07:30 pm, RJ Shyamala Sethuraman,10 minutes Story 1, Periya Edathu Utharavu
Wednesday,07:30 pm,"Isai Sagothari" RJ Maheswari, Aalayam, Repeat
Wednesday,07:30 pm, RJ Shyamala Sethuraman,10 minutes Story 2, Pathavathu Rathinam
